#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#x,,
#DC0V 25degC,,
Frequency[Hz],Reactance[ohm],
2.872E9,2.4727190418053087,
2.893E9,2.5233440187393312,
2.914E9,2.573833879196485,
2.935E9,2.6241945557162722,
2.956E9,2.674431877081796,
2.977E9,2.724551574142795,
2.998E9,2.774559285505731,
3.019E9,2.8244605631042647,
3.04E9,2.8742608776633345,
3.061E9,2.923965624069792,
3.082E9,2.973580126662479,
3.103E9,3.023109644454527,
3.124E9,3.0725593763007555,
3.145E9,3.1219344660229518,
3.166E9,3.171240007506068,
3.187E9,3.2204810497784706,
3.208E9,3.2696626020896544,
3.229E9,3.3187896389991116,
3.25E9,3.367867105490486,
3.271E9,3.416899922125502,
3.292E9,3.465892990252829,
3.313E9,3.514851197287504,
3.334E9,3.5637794220773973,
3.355E9,3.6126825403739136,
3.376E9,3.6615654304250667,
3.397E9,3.710432978710125,
3.418E9,3.759290085836132,
3.439E9,3.808141672617909,
3.46E9,3.856992686364608,
3.481E9,3.9058481073974134,
3.502E9,3.9547129558248297,
3.523E9,4.003592298603882,
3.544E9,4.05249125691776,
3.565E9,4.1014150139027965,
3.586E9,4.150368822760331,
3.607E9,4.199358015291902,
3.628E9,4.248388010899382,
3.649E9,4.297464326095289,
3.67E9,4.3465925845722575,
3.691E9,4.39577852788501,
3.712E9,4.445028026802826,
3.733E9,4.494347093395625,
3.754E9,4.543741893922383,
3.775E9,4.593218762596868,
3.796E9,4.642784216312202,
3.817E9,4.692444970413294,
3.838E9,4.7422079556139565,
3.859E9,4.792080336164294,
3.88E9,4.842069529383061,
3.901E9,4.8921832266798715,
3.922E9,4.942429416202548,
3.943E9,4.99281640725633,
3.964E9,5.043352856653265,
3.985E9,5.094047797162309,
4.006E9,5.144910668242854,
4.027E9,5.1959513492564415,
4.048E9,5.247180195362682,
4.069E9,5.29860807631534,
4.09E9,5.350246418381868,
4.111E9,5.402107249613555,
4.132E9,5.454203248691346,
4.153E9,5.5065477975624155,
4.174E9,5.559155038060845,
4.195E9,5.612039932667775,
4.216E9,5.665218329505824,
4.237E9,5.718707031570805,
4.258E9,5.7725238700692465,
4.279E9,5.826687781537181,
4.3E9,5.881218888143077,
4.321E9,5.936138580196409,
4.342E9,5.991469599354589,
4.363E9,6.047236120290711,
4.384E9,6.103463827581205,
4.405E9,6.160179983195245,
4.426E9,6.217413478081846,
4.447E9,6.275194858767953,
4.468E9,6.333556316344923,
4.489E9,6.392531620376334,
4.51E9,6.452155973616856,
4.531E9,6.512465754312068,
4.552E9,6.573498100312519,
4.573E9,6.635290271982534,
4.594E9,6.697878707116551,
4.615E9,6.761297648315715,
4.636E9,6.825577178130518,
4.657E9,6.8907404351378405,
4.678E9,6.956799698847426,
4.699E9,7.023750914936302,
4.72E9,7.091566074850975,
4.741E9,7.1601826538939,
4.762E9,7.229489038545211,
4.783E9,7.299304531380152,
4.804E9,7.369352121563741,
4.825E9,7.4392218015108185,
4.846E9,7.508321932108189,
4.867E9,7.575816313592846,
4.888E9,7.640545814348523,
4.909E9,7.700936751880784,
4.93E9,7.754905509585555,
4.951E9,7.799782559844384,
4.972E9,7.832301320755918,
4.993E9,7.848726933603088,
5.014E9,7.845226011265685,
5.035E9,7.818570760916669,
5.056E9,7.767180279918041,
5.077E9,7.692291569911696,
5.098E9,7.59877964807906,
5.119E9,7.495026999574806,
5.14E9,7.391539968515882,
5.161E9,7.298691940114418,
5.182E9,7.224544832184475,
5.203E9,7.173638533176764,
5.224E9,7.147006959146716,
5.245E9,7.143047232674671,
5.266E9,7.158654340459176,
5.287E9,7.190192041857922,
5.308E9,7.234134423504087,
5.329E9,7.287397348122744,
5.35E9,7.347451686164129,
5.371E9,7.412311390426761,
5.392E9,7.480463903536596,
5.413E9,7.55078331276971,
5.434E9,7.622446821239624,
5.455E9,7.694863002270872,
5.476E9,7.76761386005401,
5.497E9,7.8404097449575145,
5.518E9,7.913055086145908,
5.539E9,7.985422740798378,
5.56E9,8.057434986053941,
5.581E9,8.129049528715642,
5.602E9,8.20024925667803,
5.623E9,8.271034757912739,
5.644E9,8.341418876176457,
5.665E9,8.411422761088218,
5.686E9,8.48107301276189,
5.707E9,8.550399627386936,
5.728E9,8.619434528568284,
5.749E9,8.688210526822225,
5.77E9,8.756760591791396,
5.791E9,8.825117352578713,
5.812E9,8.893312764151405,
5.833E9,8.961377894268962,
5.854E9,9.02934279748168,
5.875E9,9.09723645161962,
5.896E9,9.165086738714717,
5.917E9,9.23292045710093,
5.938E9,9.300763354978761,
5.959E9,9.368640178344933,
5.98E9,9.436574728121093,
6.001E9,9.50458992274449,
6.022E9,9.572707863541202,
6.043E9,9.640949900983886,
6.064E9,9.709336700513573,
6.085E9,9.777888307030054,
6.106E9,9.846624207467544,
6.127E9,9.915563391100592,
6.148E9,9.98472440739033,
6.169E9,10.05412542130014,
6.19E9,10.12378426609364,
6.211E9,10.193718493686323,
6.232E9,10.263945422661344,
6.253E9,10.334482184084816,
6.274E9,10.405345765270937,
6.295E9,10.47655305165388,
6.316E9,10.548120866925142,
6.337E9,10.620066011592016,
6.358E9,10.69240530010752,
6.379E9,10.76515559671412,
6.4E9,10.838333850133802,
6.421E9,10.911957127226938,
6.442E9,10.986042645729635,
6.463E9,11.060607806167177,
6.484E9,11.13567022302675,
6.505E9,11.211247755257975,
6.526E9,11.287358536153429,
6.547E9,11.364021002643817,
6.568E9,11.441253924022558,
6.589E9,11.519076430093364,
6.61E9,11.597508038709423,
6.631E9,11.67656868264566,
6.652E9,11.75627873571344,
6.673E9,11.836659037991334,
6.694E9,11.917730920002956,
6.715E9,11.999516225624639,
6.736E9,12.082037333448218,
6.757E9,12.165317176258053,
6.778E9,12.249379258202607,
6.799E9,12.334247669149342,
6.82E9,12.419947095602819,
6.841E9,12.50650282743806,
6.862E9,12.593940759549781,
6.883E9,12.682287387339194,
6.904E9,12.77156979474776,
6.925E9,12.861815633296471,
6.946E9,12.953053090290611,
6.967E9,13.045310843996589,
6.988E9,13.13861800317707,
7.009E9,13.233004027871322,
7.03E9,13.328498627714279,
7.051E9,13.425131633381708,
7.072E9,13.522932835909067,
7.093E9,13.621931787632489,
7.114E9,13.722157557310627,
7.135E9,13.82363843057162,
7.156E9,13.926401545145419,
7.177E9,14.030472448340603,
7.198E9,14.13587456184599,
7.219E9,14.24262853611524,
7.24E9,14.35075147324712,
7.261E9,14.460255993318208,
7.282E9,14.571149114457727,
7.303E9,14.683430911468815,
7.324E9,14.79709291137992,
7.345E9,14.912116176839936,
7.366E9,15.028469019642909,
7.387E9,15.146104276801296,
7.408E9,15.264956070448187,
7.429E9,15.384935960495906,
7.45E9,15.505928385610513,
7.471E9,15.627785274113169,
7.492E9,15.750319692667262,
7.513E9,15.873298388358078,
7.534E9,15.996433071073717,
7.555E9,16.11937028108296,
7.576E9,16.241679696000634,
7.597E9,16.362840758582035,
7.618E9,16.482227561307095,
7.639E9,16.59909201818236,
7.66E9,16.712545505321547,
7.681E9,16.82153938081477,
7.702E9,16.92484512647479,
7.723E9,17.021035317080116,
7.744E9,17.108467242966473,
7.765E9,17.185271805888025,
7.786E9,17.249351269204467,
7.807E9,17.298390520181687,
7.828E9,17.329887569085827,
7.849E9,17.34120983290134,
7.87E9,17.329682958034542,
7.891E9,17.292718007273752,
7.912E9,17.227980154216333,
7.933E9,17.133597019800682,
7.954E9,17.008397187246665,
7.975E9,16.85215966681144,
7.996E9,16.665844640076813,
8.017E9,16.45176741115325,
8.038E9,16.213674714561122,
8.059E9,15.956688755094268,
8.08E9,15.687101109411305,
8.101E9,15.412024029479465,
8.122E9,15.138935051888515,
8.143E9,14.875174033656767,
8.164E9,14.62746235319162,
8.185E9,14.401508484421534,
8.206E9,14.20174445725149,
8.227E9,14.031210417921882,
8.248E9,13.891577775111047,
8.269E9,13.783281808791363,
8.29E9,13.705725121070653,
8.311E9,13.657513314922877,
8.332E9,13.636690895566973,
8.353E9,13.640955059299374,
8.374E9,13.667834820972095,
8.395E9,13.71483102328755,
8.416E9,13.779518458897178,
8.437E9,13.85961468673158,
8.458E9,13.953021607143619,
8.479E9,14.057846060289066,
8.5E9,14.172405156177321,
